iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:P20067	process	5	5.3.1.6.2	20067	Establish engagement rules	ex:ActOfFormulation		An Act of Formulation that has as output engagement rules prescribing how delivery resources are to interact with the customer.
ex:P20068	process	5	5.3.1.7	20068	Plan for service delivery	ex:ActOfFormulation		An Act of Formulation that has as output a service-delivery plan prescribing the action by which the solution is to be rendered.
ex:P20069	process	5	5.3.2	20069	Execute service delivery	ex:ActOfServiceProvision	req-cap:ex:ServiceDeliveryCapability	An Act of Service Provision that carries out a service delivery by creating, validating, building, and deploying the necessary solution to the customer.
ex:P20070	process	5	5.3.2.1	20070	Analyze environment and customer needs	ex:ActOfAnalysis		An Act of Analysis that has as input customer requirements and has as output a customer-needs analysis within the organization's scope.
ex:P20071	process	5	5.3.2.2	20071	Define solution	ex:ActOfFormulation		An Act of Formulation that has as input a customer-needs analysis and has as output a solution specification for providing the service.
ex:P20072	process	5	5.3.2.3	20072	Validate solution	cco:ont00000636		An Act of Appraisal that has as input a solution specification and has as output a solution-validation result judging its feasibility and fit.
ex:P20073	process	5	5.3.2.4	20073	Identify changes	ex:ActOfFormulation		An Act of Formulation that has as input a solution-validation result and has as output a solution-change specification prescribing corrections to the drafted so
ex:P20074	process	5	5.3.2.5	20074	Obtain approval to proceed	ex:ActOfAcquisition		An Act of Acquisition that obtains from the relevant authorities a proceed-approval decision authorizing the service-delivery solution.
ex:P20075	process	5	5.3.2.6	20075	Make build/buy solution	cco:ont00000228		A Planned Act that constructs or purchases a service-delivery solution and produces a record that the solution has been built or bought.
ex:P20076	process	5	5.3.2.7	20076	Deploy solution	ex:ActOfServiceProvision	req-cap:ex:ServiceDeliveryCapability;req-role:ex:CustomerRole	An Act of Service Provision that has as input a service-delivery solution, delivers the promised services to the customer, and has as output a service-delivery 
ex:P20077	process	5	5.3.3	20077	Complete service delivery	ex:ActOfServiceProvision	req-cap:ex:ServiceDeliveryCapability	An Act of Service Provision that completes a service delivery by reviewing success, closing finances, confirming delivery, releasing resources, harvesting knowl
ex:P20078	process	5	5.3.3.1	20078	Conduct service delivery/project review and evaluate success	cco:ont00000636		An Act of Appraisal that reviews the whole service delivery and has as output a service-delivery review evaluating its success.
ex:P20079	process	5	5.3.3.2	20079	Complete/finalize financial management activities	cco:ont00000228		A Planned Act that closes out the financial activities of a service delivery by ensuring all payments are received and all related activities are completed.
ex:P20080	process	5	5.3.3.3	20080	Confirm delivery according to contract terms	cco:ont00000636		An Act of Appraisal that has as input a service-delivery contract and has as output a contract-fulfillment confirmation that all its terms are satisfied.
ex:P20081	process	5	5.3.3.4	20081	Release resources	cco:ont00000228	req-role:ex:ServiceDeliveryPersonnelRole	A Planned Act that discharges the resources leveraged for a service delivery and returns them to the resource pool, with service-delivery personnel as participa
ex:P20082	process	5	5.3.3.5	20082	Manage service delivery completion	cco:ont00000636		An Act of Appraisal that judges whether all internal and external aspects of a service delivery's closeout are completed and has as output a service-delivery co
ex:P20083	process	5	5.3.3.6	20083	Harvest knowledge	ex:ActOfAnalysis		An Act of Analysis that has as input customer feedback and has as output a service knowledge base concerning the services rendered.
ex:P20084	process	5	5.3.3.7	20084	Archive records and update systems	cco:ont00000366		An Act of Information Processing that has as input service-delivery records and stores them by archiving the records and updating the relevant systems.
ex:P20086	process	6	6.1.1	20086	Define customer service requirements across the enterprise	ex:ActOfFormulation		An Act of Formulation that composes a customer service requirement specification enumerating the behaviors, skills, and policies needed to provide customer serv
ex:P20087	process	6	6.1.2	20087	Define customer service experience	ex:ActOfFormulation		An Act of Formulation that articulates a customer service experience specification relating service-level expectations to the workforce for engaging customers.
ex:P20088	process	6	6.1.3	20088	Define and manage customer service channel strategy	ex:ActOfFormulation		An Act of Formulation that establishes and refines a customer service channel strategy governing the procedures for customer service and technical support.
ex:P20089	process	6	6.1.6	20089	Define warranty claims	ex:ActOfFormulation		An Act of Formulation that determines the exact terms and conditions under which specific warranties apply to certain goods or services, producing a warranty cl
ex:P20090	process	6	6.1.6.3	20090	Agree on warranty responsibilities with suppliers	cco:ont00000684;cco:ont00000228		An Act of Contract Formation in which an organization and its suppliers or dealers negotiate and commit to the warranty obligations of each party, producing a s
ex:P20091	process	6	6.1.6.4	20091	Define warranty related offerings for customers	cco:ont00000402;cco:ont00000228	req-role:ex:CustomerRole	An Act of Communication in which a warranty offering is conveyed to customers, informing them about the warranties that apply to promoted products or services.
ex:P20092	process	6	6.1.7	20092	Develop recall strategy	ex:ActOfFormulation		An Act of Formulation that establishes the procedures for handling recalls of defective products, producing a recall strategy.
ex:P20094	process	6	6.2.4	20094	Process returns	ex:ActOfAcquisition		An Act of Acquisition in which an Agent takes back a returned product from a customer and determines whether it is to be scrapped or salvaged.
ex:P20095	process	6	6.2.4.2	20095	Process return and record reason	ex:ActOfAcquisition		An Act of Acquisition in which an Agent takes in the returned product and produces a return-reason record documenting why the product was returned.
ex:P20096	process	6	6.3.2.1	20096	Receive warranty claim	cco:ont00000402;cco:ont00000228		An Act of Communication that takes in an incoming warranty claim, routes it to the responsible department, and documents it.
ex:P20097	process	6	6.3.2.3	20097	Investigate warranty issues	ex:ActOfAnalysis		An Act of Analysis that examines a warranty issue and produces a root cause analysis and a recommendation for corrective action.
ex:P20098	process	6	6.3.2.3.1	20098	Define issue	ex:ActOfAnalysis		An Act of Analysis that has as input a warranty claim and a warranty claim code and has as output a warranty issue definition.
ex:P20099	process	6	6.3.2.3.4	20099	Investigate issue/perform root cause analysis	ex:ActOfAnalysis		An Act of Analysis that has as input a warranty issue definition and has as output a root cause analysis and a recommendation for corrective action.
